id_patrimonio,id_parlamentar_voz,casa,ano_eleicao,ds_cargo,ds_tipo_bem,ds_bem,valor_bem
89,1204495,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",VEICULO VITARA 4SPORT ANO2017 ADQUIRIDO DA DELTA VEICULOS,118990
90,1204495,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",APLICAÇÃO NO BANCO: BANPARÁ,36110.93
91,1204549,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,45386.32
92,1204549,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,5000
93,1204549,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,2500
94,1204549,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,114000
95,1204549,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,5000
96,1204549,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,#NULO#,409227.05
97,1204549,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,170000
98,1204549,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,5000
99,1204549,camara,2018,DEPUTADO FEDERAL,Dinheiro em espécie - moeda estrangeira,#NULO#,30000
100,1204549,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",#NULO#,38857.67
101,1178836,camara,2018,DEPUTADO FEDERAL,Outras participações societárias,#NULO#,5000
102,1178836,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,90000
103,1178836,camara,2018,DEPUTADO FEDERAL,Casa,#NULO#,268166.11
104,1178836,camara,2018,DEPUTADO FEDERAL,Fundo de Investimento Imobiliário,#NULO#,300000
105,1178836,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,64224
106,1160559,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",Banrisul  Aplicação em CDB DI,502795.47
107,1160559,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,"Participação Societária na Empresa Agropecuária Moreira Lopes ¿ ME, CNPJ 89.851.075/0001-90 De Maria Marlene Lopes da Silva. CNPJ 89.851.075/0001-90",28500
108,1160559,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",Ford  Fusion 2008/2009 Placa JSA 1288 AZUL,50000
109,1160559,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",VOLVO XC60 DS MOMENTUM- 2017 Placa IYB 2903 ¿ Azul,189500
110,1160559,camara,2018,DEPUTADO FEDERAL,Casa,"Casa na rua Júlio de Castilhos, 1802 no município de Imbé RS",608000
111,1160559,camara,2018,DEPUTADO FEDERAL,Apartamento,"Av. taquara 359, Apto. 202 e box 121  em Porto Alegre RS",285000
112,1160559,camara,2018,DEPUTADO FEDERAL,Casa,"Av. das acácias 692, no condomínio Interlagos em Osório-RS.",165000
113,1160559,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","Nissan Kicks SV 2017-2018 , IYA 3763 Alienado ao banco RCI Brasil",89000
114,1160559,camara,2018,DEPUTADO FEDERAL,Loja,"Loja 01 do Edificio Tower, com área total de 119,44 m² na avenida da Igreja com Almirante Tamandaré Lote 26 da quadra 91 em Tramandaí-RS",170000
115,1160559,camara,2018,DEPUTADO FEDERAL,Terreno,Terreno rural constituído do sub-lote 01 com 450 m².,18000
116,1160559,camara,2018,DEPUTADO FEDERAL,Apartamento,"Apartamento na Planta, Avenida Getúlio Vargas em Osório RS. Aquisição durante o processo de construção",165000
117,1160559,camara,2018,DEPUTADO FEDERAL,Apartamento,"Apartamento na Planta, Avenida Getúlio Vargas em Osório RS. Aquisição durante o processo de construção",165000
118,1160559,camara,2018,DEPUTADO FEDERAL,Casa,"Rua três de outubro ,2796 em Tramandaí ¿RS",230000
119,1160559,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",BB RENDA FIXA LP 100,19393.06
120,1204413,camara,2018,DEPUTADO FEDERAL,Casa,#NULO#,6508.71
121,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,4163.83
122,1204413,camara,2018,DEPUTADO FEDERAL,Crédito decorrente de empréstimo,#NULO#,70000
123,1204413,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,150540
124,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,6000
125,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,586400
126,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,12491
127,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,8400
128,1204413,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,1219.4
129,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,3740
130,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,60000
131,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,4163.83
132,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,8400
133,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,8280
134,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,35082.07
135,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,9404
136,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,21102
137,1204413,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,4163.83
138,1204413,camara,2018,DEPUTADO FEDERAL,Casa,#NULO#,120000
139,1204413,camara,2018,DEPUTADO FEDERAL,Terra nua,#NULO#,139000
140,1204545,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,50000
141,1204545,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,#NULO#,18000
142,1204545,camara,2018,DEPUTADO FEDERAL,Sala ou conjunto,#NULO#,50000
143,1204545,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,#NULO#,26954
144,1204545,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,80000
145,1204501,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,3595.67
146,1204501,camara,2018,DEPUTADO FEDERAL,Outros créditos e poupança vinculados,#NULO#,12.29
147,1204501,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,45000
148,1204501,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,15934.89
149,1204501,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,290000
150,1204501,camara,2018,DEPUTADO FEDERAL,VGBL - Vida Gerador de Benefício Livre,#NULO#,5928.89
151,1204501,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,5928.89
152,1160511,camara,2018,DEPUTADO FEDERAL,Loja,#NULO#,350753.51
153,1160511,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,2154.42
154,1160511,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,207.48
155,1160511,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,#NULO#,285.34
156,1160511,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",#NULO#,351596.62
157,1160511,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,39.01
158,1160511,camara,2018,DEPUTADO FEDERAL,Sala ou conjunto,#NULO#,201786.88
159,1160511,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,166580
160,1160511,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,4059.31
161,1160511,camara,2018,DEPUTADO FEDERAL,Loja,#NULO#,603060.5
162,1178972,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,#NULO#,25000
163,1178972,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,31000
164,1178972,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,25
165,1178972,camara,2018,DEPUTADO FEDERAL,Dinheiro em espécie - moeda nacional,#NULO#,230000
166,1178972,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,167500
167,1178972,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,#NULO#,1442.72
168,1178972,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,41000
169,1178972,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,1
170,1178972,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,310
171,1178972,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,20000
172,1178972,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,#NULO#,8750
173,1178972,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,41000
174,1178972,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,62745.98
175,1178972,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",#NULO#,8.01
176,1178972,camara,2018,DEPUTADO FEDERAL,Fundo de Curto Prazo,#NULO#,5810.29
177,1204571,camara,2018,DEPUTADO FEDERAL,Terreno,Terreno localizado em Camaçari,64279.39
178,1204571,camara,2018,DEPUTADO FEDERAL,Outras participações societárias,Cota capital social de Empresa.,5000
179,1204571,camara,2018,DEPUTADO FEDERAL,VGBL - Vida Gerador de Benefício Livre,Previdência,20717.68
180,1204571,camara,2018,DEPUTADO FEDERAL,Apartamento,Apartamento localizado em Salvador,250000
181,1204571,camara,2018,DEPUTADO FEDERAL,Outras participações societárias,Cota capital social de Empresa.,10000
182,1204571,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,Conta corrente,1370.71
183,1204571,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","Veículo Sprinter, Ano 2013",86000
184,1204571,camara,2018,DEPUTADO FEDERAL,Dinheiro em espécie - moeda nacional,Dinheiro,50000
185,1204571,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","Veículo Toyota Hylux, Ano 2016",160000
186,1160545,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,460000
187,1160545,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,21534.93
188,1160545,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,664330.54
189,1160545,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,1
190,1204503,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,720000
191,1178833,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"AREA DENOM. LT 02 COM 1.118,37M2 DESMEMBRADA DA AREA DE 9.317,42M2 DA MATR AV-3-151-CART PORTO REAL/RJ. ADQ. ELISA ETTORE CPF 622.658.817-91 EM 04/08/2005 POR R$ 17.000,00 POR INST PART COMP E VND",17000
192,1178833,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"AREA DENOM. LT 01 COM 1.155,46M2 DESMEMBRADA DA AREA DE 9.317,42M2 DA MATR AV-3-151-CART PORTO REAL/RJ. ADQ. ELISA ETTORE CPF 622.658.817-91 EM 08/07/2005 POR R$ 17.832,04 POR INST PART COMP E VND",17832.04
193,1178833,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)","SALDO BCO BRASIL, AG.4688-4 CTA 29.999-X EM BRASILPREV.VGBL CNPJ 27.665.207/0001-31 EM NOME CONJUGE ARLETE SERFIOTS CPF 023.308.567-09",80310.2
194,1178833,camara,2018,DEPUTADO FEDERAL,Apartamento,"APT 201 DO ED. SIT. RUA LUIZ PAULISTANO,51-FREG. DE JACAREP.COM 2 VGS GRM. ADQ DE RENTA DE ALMEIDA PRADO CPF 347.054.817-04 CFE ESCRIT. PUB DE COMP. E VND LV SB318 FLS.140/141 ATO 052 TRAN 29/10/2010",300000
195,1178833,camara,2018,DEPUTADO FEDERAL,Sala ou conjunto,"AQS.SALA NO 803 NO COND. CENTRO MEDICO POLICLINICA RESENDE, SITUADA NO AV.MARCILIO DIAS,563-RESENDE/RJ ADQ. DE EDMAR LOPES DA SILVA NETO CPF 053.613.857-51  EM 09/11/2016",40000
196,1178833,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"AREA DENOM. LT 03 DESMEMBRADA DA AREA DE 9.317,49M2. ADQ. DE ELISA ETTORE CPF 622.658.817-91 EM 20/08/2008 POR INST PART COMP E VND POR R$ 24.000,00",24000
197,1178833,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",SALDO BCO BRASIL AG 4688-7 C/C 29.666-X EM NOME DO CONJUGE ARLETE DE OLIVEIRA SERFIOTS CPF 023.308.567-09,53404.99
198,1178833,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",SALDO POUPANÇA OURO BRASIL AG 4688-4 CTA 6141-7 EM NOME DE SEU FILHO ALLAN SERFIOTS CPF 147.712.317-29,60087.85
199,1178833,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","TOYOTA COROLLA RAV4 2.5L 4X4 AT AN0 FAV/MOD 2013 COR BRANCO, RENAVAN 223745 ADQ T.DRIVE U.A. ARICANDUVA COM E VEIC LTDA CNPJ  03.389.704/0003-58 EM 20/06/2013.",125581.2
200,1178833,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"AREA DENOM. LT 04 DESMEMBRADA DA AREA DE 9.317,49M2. ADQ. DE ELISA ETTORE CPF 622.658.817-91 EM 14/11/2008 POR R$ 20.000,00 POR INST PART COMP E VND",20000
201,1178833,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",OUROCAP UNICO BCO BRASIL ¿ FILHA AMANDA O. B. SERFIOTS,1813.6
202,1178833,camara,2018,DEPUTADO FEDERAL,Embarcação,"JETSKI FINANCIADO PELO AYMORE CREDITO FINAN. EINV.SA EM 12 PARCELAS DE R$1973,12 COM PRIMEIRO VENC. EM 15/01/2011",23677.44
203,1178833,camara,2018,DEPUTADO FEDERAL,Dinheiro em espécie - moeda nacional,SALDO EM C/C BB AG: 4688 PORTO REAL-RJ EM NOME DO TITULAR,18576.79
204,1178833,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","TOYOTA COROLLA XEI A/T 2.0 L FLEX CHASSI 9BRBD48E9C2558385MY12, 2011/12, COR PRATA ADQ DE U.A. ARICANDUVACOM VEIC. LTDA CNJ 03.389.704/0003-58 DANFE NR 31719 DE 25/11/2011",72380
205,1178833,camara,2018,DEPUTADO FEDERAL,Sala ou conjunto,"AQS.SALA NO 802 NO COND. CENTRO MEDICO POLICLINICA RESENDE, SITUADA NO AV.MARCILIO DIAS,563-RESENDE/RJ ADQ. DE EDMAR LOPES DA SILVA NETO CPF 093.437.067-23  EM 09/11/2016",58000
